dep,arr,num,time,fleet,fleetnew,airline
OMDB,OBBI,CX745,1:25,A330-300,,Cathay Pacific
VNKT,VHHH,CX603,4:50,,A330-300,Cathay Pacific
VOBL,VHHH,CX623,5:30,,A330-300,Cathay Pacific
VDPP,VHHH,CX605,2:50,,A330-300,Cathay Pacific
RJFF,VHHH,CX588,3:15,,A350-900,Cathay Pacific
VVNB,VHHH,CX743,2:20,,"B777-300ER,A350-900",Cathay Pacific
ZSWZ,VHHH,CX396,1:50,,A330-300,Cathay Pacific
ZSFZ,VHHH,CX990,1:40,,A330-300,Cathay Pacific
ZHHH,VHHH,CX924,1:55,,A330-300,Cathay Pacific
ZHCC,VHHH,CX952,2:45,,A330-300,Cathay Pacific
ZSAM,VHHH,CX970,1:30,,"A330-300,A321-200",Cathay Pacific
ZSAM,VHHH,CX978,1:30,,"B777-300ER,A330-300",Cathay Pacific
ZSQD,VHHH,CX954,3:15,,A321-200,Cathay Pacific
WMKK,VHHH,CX725,4:05,B777-300,A350-900,Cathay Pacific
WMKK,VHHH,CX727,4:05,B777-300,,Cathay Pacific
WMKK,VHHH,CX731,4:05,B777-300,,Cathay Pacific
WMKK,VHHH,CX729,4:05,B747-400,,Cathay Pacific
ZSHC,VHHH,CX958,2:15,,"A330-300,A321-200",Cathay Pacific
ZSHC,VHHH,CX960,2:15,,A330-300,Cathay Pacific
ZUCK,VHHH,CX928,2:35,,A330-300,Cathay Pacific
ZUUU,VHHH,CX986,2:55,,A330-300,Cathay Pacific
ZGGG,VHHH,CX982,1:00,,"A330-300,A321-200",Cathay Pacific
ZGGG,VHHH,CX988,1:00,,A330-300,Cathay Pacific
VVTS,VHHH,CX767,2:45,A330-300,"B777-300ER,A350-900",Cathay Pacific
VVTS,VHHH,CX721,2:45,A330-300,,Cathay Pacific
VVTS,VHHH,CX799,2:45,B777-300,"B777-300ER,A350-900",Cathay Pacific
KSEA,VHHH,CX858,12:25,A359-900,,Cathay Pacific
KSFO,VHHH,CX870,12:35,B777-300,,Cathay Pacific
KSFO,VHHH,CX872,12:35,B777-300,,Cathay Pacific
KSFO,VHHH,CX892,12:35,B777-300,,Cathay Pacific
KSFO,VHHH,CX892,12:35,,A350-900,Cathay Pacific
KBOS,VHHH,CX812,16:05,B777-300,,Cathay Pacific
KIAD,VHHH,CX866,15:35,A359-900,,Cathay Pacific
KEWR,VHHH,CX890,15:50,A359-900,,Cathay Pacific
KJFK,VHHH,CX844,16:05,B777-300,,Cathay Pacific
KJFK,VHHH,CX830,16:05,B777-300,,Cathay Pacific
KJFK,VHHH,CX840,16:05,B777-300,,Cathay Pacific
KJFK,VHHH,CX846,16:05,,A350-900,Cathay Pacific
KJFK,VHHH,"CX844
",16:05,,A350-900,Cathay Pacific
KLAX,VHHH,CX884,13:05,B777-300,B777-300ER,Cathay Pacific
KLAX,VHHH,CX880,13:05,B777-300,,Cathay Pacific
KLAX,VHHH,CX882,13:05,B777-300,,Cathay Pacific
KORD,VHHH,CX806,15:10,B777-300,,Cathay Pacific
EGCC,VHHH,CX219,12:50,A359-900,A350-900,Cathay Pacific
EGKK,VHHH,CX343,12:45,A359-900,,Cathay Pacific
EGLL,VHHH,CX257,13:05,B777-300,,Cathay Pacific
EGLL,VHHH,CX253,13:05,B777-300,,Cathay Pacific
EGLL,VHHH,CX239,13:05,B777-300,,Cathay Pacific
EGLL,VHHH,CX251,13:05,B777-300,A350-900,Cathay Pacific
EGLL,VHHH,CX255,13:05,B777-300,"B777-300ER,A350-900",Cathay Pacific
OMDB,VHHH,CX745,9:15,A330-300,,Cathay Pacific
VTBS,VHHH,CX701,3:00,A330-300,"B777-300ER,A350-900",Cathay Pacific
VTBS,VHHH,CX751,3:00,B747-400,,Cathay Pacific
VTBS,VHHH,CX755,3:00,A359-900,,Cathay Pacific
VTBS,VHHH,CX613,3:00,B777-300,,Cathay Pacific
VTBS,VHHH,CX705,3:00,A330-300,,Cathay Pacific
VTBS,VHHH,CX653,3:00,A330-300,A350-900,Cathay Pacific
VTBS,VHHH,CX617,3:00,A330-300,,Cathay Pacific
VTBS,VHHH,CX717,3:00,A330-300,,Cathay Pacific
VTBS,ZSSS,CX712,2:35,A330-300,,Cathay Pacific
RCTP,VHHH,CX472,1:55,A330-300,,Cathay Pacific
RCTP,VHHH,CX484,1:55,A330-300,,Cathay Pacific
RCTP,VHHH,CX474,1:55,B747-400,,Cathay Pacific
RCTP,VHHH,CX450,1:55,A330-300,,Cathay Pacific
RCTP,VHHH,CX408,1:55,A330-300,,Cathay Pacific
RCTP,VHHH,CX494,1:55,A330-300,"B777-300ER,A350-900",Cathay Pacific
RCTP,VHHH,CX464,1:55,A330-300,,Cathay Pacific
RCTP,VHHH,CX430,1:55,A330-300,,Cathay Pacific
RCTP,VHHH,CX564,1:55,A330-300,,Cathay Pacific
RCTP,VHHH,CX400,1:55,A330-300,,Cathay Pacific
RCTP,VHHH,CX470,1:55,B747-400,,Cathay Pacific
RCTP,VHHH,CX530,1:55,A330-300,,Cathay Pacific
RCTP,VHHH,CX402,1:55,A330-300,,Cathay Pacific
RCTP,VHHH,CX468,1:55,A330-300,,Cathay Pacific
LSZH,VHHH,CX383,12:30,A359-900,,Cathay Pacific
VCBI,VHHH,CX611,5:50,A330-300,,Cathay Pacific
LEBL,VHHH,CX321,13:15,A359-900,,Cathay Pacific
LEMD,VHHH,CX315,14:00,A359-900,,Cathay Pacific
FAOR,VHHH,CX749,13:05,B777-300,,Cathay Pacific
WSSS,VHHH,CX635,3:50,A330-300,,Cathay Pacific
WSSS,VHHH,CX715,3:50,A330-300,,Cathay Pacific
WSSS,VHHH,CX735,3:50,A330-300,,Cathay Pacific
WSSS,VHHH,CX759,3:50,A330-300,,Cathay Pacific
WSSS,VHHH,CX691,3:50,A330-300,,Cathay Pacific
WSSS,VHHH,CX711,3:50,A330-300,,Cathay Pacific
WSSS,VHHH,CX693,3:50,A359-900,,Cathay Pacific
RPVM,VHHH,CX921,2:50,A330-300,"B777-300ER,A350-900",Cathay Pacific
RPVM,VHHH,CX925,2:50,A330-300,"B777-300ER,A350-900",Cathay Pacific
RPLL,VHHH,CX939,2:30,A330-300,,Cathay Pacific
RPLL,VHHH,CX901,2:30,A330-300,A350-900,Cathay Pacific
RPLL,VHHH,CX903,2:30,A330-300,"B777-300ER,A350-900",Cathay Pacific
RPLL,VHHH,CX935,2:30,A330-300,,Cathay Pacific
RPLL,VHHH,CX913,2:30,A330-300,,Cathay Pacific
RPLL,VHHH,CX919,2:30,A330-300,,Cathay Pacific
RPLL,VHHH,CX907,2:30,A330-300,A350-900,Cathay Pacific
KOAK,VHHH,CX113,10:55,A359-900,,Cathay Pacific
EHAM,VHHH,CX271,12:25,B777-300,"B777-300ER,A350-900",Cathay Pacific
VRMM,VHHH,CX601,6:55,A330-300,,Cathay Pacific
RJCC,VHHH,CX580,5:10,A330-300,,Cathay Pacific
RJTT,VHHH,CX542,4:10,A359-900,,Cathay Pacific
RJTT,VHHH,CX548,4:10,A330-300,,Cathay Pacific
LIMC,VHHH,CX233,12:40,B777-300,,Cathay Pacific
LIRF,VHHH,CX293,13:00,A359-900,,Cathay Pacific
LLBG,VHHH,CX675,11:35,A359-900,"B777-300ER,A350-900",Cathay Pacific
EIDW,VHHH,CX301,12:50,A359-900,,Cathay Pacific
WARR,VHHH,CX779,4:50,A330-300,A350-900,Cathay Pacific
WADD,VHHH,CX785,5:00,A330-300,,Cathay Pacific
WIII,VHHH,CX797,5:00,A359-900,A350-900,Cathay Pacific
WIII,VHHH,CX719,4:55,B777-300,,Cathay Pacific
WIII,VHHH,CX777,4:55,A330-300,,Cathay Pacific
VOHS,VHHH,CX649,5:50,A330-300,,Cathay Pacific
VABB,VHHH,CX663,6:30,A330-300,,Cathay Pacific
VIDP,VHHH,CX695,6:00,B777-300,,Cathay Pacific
VIDP,VHHH,CX697,6:00,A330-300,,Cathay Pacific
EDDF,VHHH,CX289,12:15,B777-300,"B777-300ER,A350-900",Cathay Pacific
LFPG,VHHH,CX279,12:55,B777-300,,Cathay Pacific
LFPG,VHHH,CX261,12:55,B777-300,,Cathay Pacific
ZBAA,VHHH,CX312,3:25,A330-300,,Cathay Pacific
ZBAA,VHHH,CX332,3:25,A330-300,,Cathay Pacific
ZBAA,VHHH,CX390,3:25,A330-300,"B777-300ER,A330-300",Cathay Pacific
ZBAA,VHHH,CX334,3:25,,"B777-300ER,A330-300",Cathay Pacific
ZSPD,VHHH,CX368,2:50,A330-300,,Cathay Pacific
ZSPD,VHHH,CX360,2:50,A330-300,,Cathay Pacific
ZSPD,VHHH,CX364,2:50,A359-900,,Cathay Pacific
ZSPD,VHHH,CX360,2:50,,"B777-300ER,A350-900,A330-300",Cathay Pacific
ZSPD,VHHH,CX366,2:50,,"B777-300ER,A350-900,A330-300",Cathay Pacific
ZSPD,VHHH,CX368,2:50,,"B777-300ER,A350-900,A330-300",Cathay Pacific
ZSPD,VHHH,CX370,2:50,,"B777-300ER,A350-900,A330-300",Cathay Pacific
CYVR,VHHH,CX810,11:50,B777-300,,Cathay Pacific
CYVR,VHHH,CX888,11:50,B777-300,,Cathay Pacific
CYYZ,VHHH,CX828,15:20,B777-300,,Cathay Pacific
CYYZ,VHHH,CX826,15:20,B777-300,A350-900,Cathay Pacific
EBBR,VHHH,CX399,12:25,A359-900,,Cathay Pacific
YPAD,VHHH,CX173,9:00,A330-300,,Cathay Pacific
YPPH,VHHH,CX171,7:40,A359-900,A350-900,Cathay Pacific
YMML,VHHH,CX105,9:30,A359-900,A350-900,Cathay Pacific
YMML,VHHH,CX163,9:30,A359-900,,Cathay Pacific
YMML,VHHH,CX135,9:30,A359-900,A350-900,Cathay Pacific
YBBN,VHHH,CX157,8:30,A330-300,,Cathay Pacific
YSSY,VHHH,CX161,9:00,A359-900,,Cathay Pacific
YSSY,VHHH,CX101,9:00,A330-300,"B777-300ER,A350-900",Cathay Pacific
YSSY,VHHH,CX111,9:00,B777-300,"B777-300ER,A350-900",Cathay Pacific
YSSY,VHHH,CX139,9:00,A359-900,A350-900,Cathay Pacific
RJGG,VHHH,CX536,3:55,A330-300,,Cathay Pacific
RJGG,VHHH,CX532,3:55,A330-300,,Cathay Pacific
RJGG,RCTP,CX530,2:30,A330-300,,Cathay Pacific
RJBB,VHHH,CX596,3:40,A359-900,A350-900,Cathay Pacific
RJBB,RCTP,CX564,2:30,A330-300,,Cathay Pacific
RJBB,VHHH,CX506,3:40,A330-300,"B777-300ER,A350-900",Cathay Pacific
RJBB,VHHH,CX566,3:40,A330-300,,Cathay Pacific
RJBB,VHHH,CX502,3:40,B747-400,,Cathay Pacific
RJAA,VHHH,CX526,4:30,A359-900,,Cathay Pacific
RJAA,VHHH,CX524,4:30,A330-300,,Cathay Pacific
RJAA,RCTP,CX450,3:00,B777-300,,Cathay Pacific
RJAA,VHHH,CX504,4:30,A330-300,,Cathay Pacific
RJAA,VHHH,CX520,4:30,B747-400,"B777-300ER,A350-900",Cathay Pacific
RJAA,VHHH,CX500,4:30,A330-300,,Cathay Pacific
RKSI,VHHH,CX410,3:50,A330-300,,Cathay Pacific
RKSI,VHHH,CX416,3:50,A330-300,,Cathay Pacific
RKSI,RCTP,CX420,2:35,A330-300,,Cathay Pacific
RKSI,VHHH,CX434,3:50,A330-300,,Cathay Pacific
RKSI,VHHH,CX418,3:50,A359-900,"B777-300ER,A350-900",Cathay Pacific
OBBI,OMDB,CX745,1:25,A330-300,,Cathay Pacific
